firstblood,FirstBlood,1ST,firstbloodcoin
power-ledger,Power Ledger,POWR,powerledger
peercoin,Peercoin,PPC,peercoin
pesetacoin,Pesetacoin,PTC,officialpesetacoin
patientory,Patientory,PTOY,ptoy
quantum-resistant-ledger,Quantum Resistant Ledger,QRL,qrl
qtum,Qtum,QTUM,qtum
radium,Radium,RADS,radiumcrypto
rubycoin,Rubycoin,RBY,rubycoin
ripio-credit-network,Ripio Credit Network,RCN,ripiocreditnetwork
reddcoin,ReddCoin,RDD,reddcoin
augur,Augur,REP,augur
rise,Rise,RISE,rise_coin
rlc,iExec RLC,RLC,iexec
salt,SALT,SALT,saltcoin
steemdollars,steem-dollars,Steem Dollars,SBD,steemit
siacoin,Siacoin,SC,siacoin
shift,Shift,SHIFT,shiftnrg
sibcoin,SIBCoin,SIB,sibcoin
solarcoin,SolarCoin,SLR,solarcoin
salus,SaluS,SLS,salus
status,Status,SNT,statusim
spreadcoin,SpreadCoin,SPR,spreadcoin
steem,Steem,STEEM,steem
storj,Storj,STORJ,storj
stratis,Stratis,STRAT,stratis
swarm-city,Swarm City,SWT,swarmcity
syndicate,Syndicate,SYNX,syndicatecommunity
syscoin,Syscoin,SYS,syscoin
hempcoin,HempCoin,THC,thehempcoin
blocktix,Blocktix,TIX,blocktix
tokes,Tokes,TKS,tokesplatform
trust,WeTrust,TRST,trustcoin
trustplus,TrustPlus,TRUST,trustpluscoin
transfercoin,TransferCoin,TX,transfercoin
ubiq,Ubiq,UBQ,ubiq
unikoin-gold,Unikoin Gold,UKG,unikoingold
viacoin,Viacoin,VIA,viacoin
viberate,Viberate,VIB,viberate
vericoin,VeriCoin,VRC,vericoin
vertcoin,Vertcoin,VTC,vertcoin
waves,WAVES,wavesplatform
wings,Wings,WINGS,wingsdao
counterparty,Counterparty,XCP,counterparty
digitalnote,DigitalNote,XDN,digitalnote
elastic,Elastic,XEL,xeltrader
nem,NEM,XEM,nem
stellar,Stellar,XLM,stellar
magi,Magi,XMG,coinmagi
monero,Monero,XMR,monero
myriad,Myriad,XMY,myriadcoin
ripple,Ripple,XRP,ripple
stealthcoin,Stealthcoin,XST,stealthcoin
vcash,Vcash,XVC,vcash
verge,Verge,XVG,verge
whitecoin,WhiteCoin,XWC,whitecoin
zcoin,ZCoin,XZC,zcoin
zclassic,ZClassic,ZCL,zclassic
zcash,Zcash,ZEC,zec
zencash,ZenCash,ZEN,zensys
